Concept;Question class;Question type;Question content;Answer;Alternative 1;Alternative 2;Alternative 3;Explanation;Difficulty rating (</= 20)
Instalment agreement terminology;Seed;MC;i{Credit life insurance} yi {insurance} ekhokha izikweletu zakho uma kwenze njani?;Uma ushona, ukhubazeka, noma uphelelwa ngumsebenzi;Uthathelwe izinto endlini;Awusakhoni ukukhokha;Ushintsha umqondo;i{Credit life insurance} yi {insurance} ekhava izikweletu zakho uma ushona, ukhubazeka isikhashanane noma isikhathi eside, noma uphelelwa ngumsebenzi ngemigomo nemibandela ye {policy};5
Instalment agreement terminology;Retention;T/F;i{Credit life insurance} yi {insurance} ekhokha izikweletu zakho uma ukhubazeka;Iqiniso;Amanga;;;i{Credit life insurance} yi {insurance} ekhokha izikweletu zakho uma ushona, ukhubazeka isikhashane noma isikhathi eside, noma uphelelwa ngumsebenzi ngemigomo nemibandela ye {policy};12
Instalment agreement terminology;Application;T/F;Uma ushona, imali yokukhokhela izikweletu angeke ikhavwe yi {credit life insurance} yakho;Amanga;Iqiniso;;;i{Credit life insurance} yi {insurance} ekhokha izikweletu zakho uma ushona, ukhubazeka isikhashane noma isikhathi eside, noma uphelelwa ngumsebenzi ngemigomo nemibandela ye {policy};18
settling credit agreements;Seed;MC-F;Uphoqekile yini ukuthatha i{credit life insurance} na?;Cha, kodwa umkweletisi engayidinga ;Ungazikhethela;Yebo, kuyimpoqo yomthetho;Uma ungaphansi kwa 25 {years} ubudala;i{Credit life insurance} ayiphoqiwe ngokomthetho, kodwa umkweletisi engayidinga kuze ezokunika isikweletu. Akakwazi kodwa ukukuphoqa ukuthi usebenzise yiphi i{credit life insurance};6
settling credit agreements;Retention;T/F;Uyazikhethela ukuthi uyayifuna yini i{credit life insurance};Amanga;Iqiniso;;;Umkweletisi angayifuna i{credit life insurance} kuze ezokunika isikweletu. Kodwa akavumelekile ukukuphoqa ukuthi usebenzise yiphi i{credit life insurance};13
settling credit agreements;Application;T/F;Umkweletisi engakuphoqa ukuthatha i{{credit life insurance}} kuyi {company} ayifunayo;Amanga;Iqiniso;;;Umkweletisi angayifuna i{credit life insurance} kuze ezokunika isikweletu. Kodwa akavumelekile ukukuphoqa ukuthi usebenzise yiphi i{credit life insurance};19
settling credit agreements;Application;Y/N;Umkweletisi engakuphoqa yini ukuthatha i{{credit life insurance}}?;Cha;Yebo;;;Umkweletisi angayifuna i{credit life insurance} kuze ezokunika isikweletu. Kodwa akavumelekile ukukuphoqa ukuthi usebenzise yiphi i{credit life insurance};19
settling credit agreements;Seed;T/F;Esivumelwaneni sesikweletu, imali esashodayo ({balance}) imali osayikweletayo;Iqiniso;Amanga;;;Esivumelwaneni sesikweletu, imali osayikweletayo yi {balance};3
settling credit agreements;Retention;MC;Imali oyikweletayo esivumelwaneni sesikweletu yi_____________;{Balance};{Arrears};Inzalo;Inani;Esivumelwaneni sesikweletu, i{balance} yimali osayikweletayo;10
settling credit agreements;Application;MC;i{{Balance}} yesivumelwano sesikweletu kuyini?;Imali osayikweletayo;Imali osayikhokhile;Imali ekufuze ngabe usuyikhokhile;Imali ongayikhokhanga ngesikhathi esele;Esivumelwaneni sesikweletu, i{balance} yimali osayikweletayo;17
settling credit agreements;Seed;T/F;Isikweletu esikhulu ({principal debt}) yimali oyibolekile ukuthenga izinto ngesikweletu;Iqiniso;Amanga;;;Isikweletu esikhulu ({principal debt}) yimali oyibolekile ukuthenga izinto ngesikweletu. Ayibali inzalo, izimali ze {service}, kanye nezinye izimali;6
settling credit agreements;Retention;MC;Kuyini {{isikweletu esikhulu}} ({principal debt})?;Imali oyibolekile;Imali oyikweletayo kanye nenzalo;Inzalo esashodayo;Emali ekumele engabe uyikhokhile;Isikweletu esikhulu ({principal debt}) yimali oyibolekile ukuthenga izinto ngesikweletu. Ayibali inzalo, izimali ze {service}, kanye nezinye izimali;13
settling credit agreements;Retention;MC;Isikweletu esikhulu ({principal debt}) siyini?;Imali oyibolekile;Imali yonke oyikhokhayo kanye nenzalo;Inzalo yonke;Emali ekumele ingabe uyikhokhile;Isikweletu esikhulu ({principal debt}) yimali oyibolekile ukuthenga izinto ngesikweletu. Ayibali inzalo, izimali ze {service}, kanye nezinye izimali;13
settling credit agreements;Retention;MC;Ibizwa ngani imali oyibolekila ukuthenga izinto ngesikweletu?;Isikweletu esikhulu ({principal debt});Isamba esikhulu;Isikweletu esikhulu ({principal debt});Izintsalela zesikweletu esikhulu;Isikweletu esikhulu ({principal debt}) yimali oyibolekile ukuthenga izinto ngesikweletu. Ayibali inzalo, izimali ze {service}, kanye nezinye izimali;13
settling credit agreements;Retention;MC;Imali oyibolekile ukuthenga izinto ngesikweletu ibizwa ngani?;Isikweletu esikhulu ({principal debt});i{Balance} ye {contract};Imali eshodayo;Isaphulelo sokuhlala;Isikweletu esikhulu ({principal debt}) yimali oyibolekile ukuthenga izinto ngesikweletu. Ayibali inzalo, izimali ze {service}, kanye nezinye izimali;13
settling credit agreements;Application;T/F;Isikweletu esikhulu ({principal debt}) sibala inzalo nezimali ze {service};Amanga;Iqiniso;;;Isikweletu esikhulu ({principal debt}) yimali oyibolekile ukuthenga izinto ngesikweletu. Ayibali inzalo, izimali ze {service}, kanye nezinye izimali;19
settling credit agreements;Seed;T/F;i{{Balance}} ye {{contract}} yimali osadinga ukuyikhokha;Iqiniso;Amanga;;;i{Contract balance} yimali osayikweletayo ngokusho kwesivumelwano sesikweletu. Ifaka isikweletu esikhulu ({principal debt}) kanye nenzalo nezinye izimali;7
settling credit agreements;Retention;T/F;i{{Balance}} ye {{contract}} yimali oyikweletayo esikweletini esikhulu ({principal debt});Amanga;Iqiniso;;;i{{CAPITAL balance}} yimali oyikweletayo emaili oyibolekile ({principal debt}). Ayibali izinzalo nezinye izimali;14
settling credit agreements;Retention;MC;Kuyini i{{contract balance}};Isambha semali oyikweletayo;Imali oyikweleta kuyi {principal debt};Yonke inzalo ekumele ugcine uyikhokhile;Isikhathi osithathayo ukukhokha isikweletu;i{Contract balance} yimali osayikweletayo ngokusho kwesivumelwano sesikweletu. Ifaka isikweletu esikhulu ({principal debt}) kanye nenzalo nezinye izimali;14
settling credit agreements;Application;T/F;Uma i{{contract balance}} yakho kungu R70000, yileyo imali oyikweletayo;Iqiniso;Amanga;;;i{Contract balance} yimali osayikweletayo ngokusho kwesivumelwano sesikweletu. Ifaka isikweletu esikhulu ({principal debt}) kanye nenzalo nezinye izimali;20
settling credit agreements;Seed;MC;Kusho ukuthini ukuba {{ngemuva}} noma ukuba kuma {{arrears}}?;Kunemali ongayikhokhanga ngokwesivumelwano;Uthole ithikithi emgwaqeni;Kunephutha esivumelwaneni sesikweletu;Awunayo i{proof} yendawo ohlala kuyo;Uma ukuma {arrears}, umkweletisi engakushaja inzalo yokuba ngemuva, kanti futhi ama {arrears} akunika igama elibi;3
settling credit agreements;Retention;T/F;Ukuba kuma {{arrears}} kusho ukuthi uphambili ngokukhokha;Amanga;Iqiniso;;;Ukuba kuma {arrears} kusho ukuthi kunemali ongayikhokhanga ngokwesivumelwano. Umkweletisi engakushaja inzalo yokuba ngemuva, kanti futhi ama {arrears} akunika igama elibi;10
settling credit agreements;Application;T/F;Uma ukhokha imali yesikweletu {late} ngosuku, uzoba kuma {arrears} ;Iqiniso;Amanga;;;Ungena kuma {arrears} ngisho ukhokhe {late} ngosuku oluyi 1. Umkweletisi engakushaja inzalo yokuba ngemuva, kanti futhi ama {arrears} akunika igama elibi;17
settling credit agreements;Seed;T/F;Uma ukuma {{arrears}}, umkweletisi wakho engakushaja inzalo yama {arrears} nezinye izimali nezinzalo futhi;Iqiniso;Amanga;;;Uma ukuma {arrears}, umkweletisi engakushaja inzalo yokuba ngemuva nezinye izimali njenge {default admin charge}, kanti futhi ama {arrears} akunika igama elibi;4
settling credit agreements;Retention;T/F;Umkweletisi akavumelekile ukushaja inzalo yama {arrears} uma ukuma {{arrears}};Amanga;Iqiniso;;;Uma ukuma {arrears}, umkweletisi engakushaja inzalo yokuba ngemuva nezinye izimali njenge {default admin charge}, kanti futhi ama {arrears} akunika igama elibi;11
settling credit agreements;Retention;T/F;Umkweletisi akavumelekile ukushaja imali ye {default admin} uma ukuma {{arrears}};Amanga;Iqiniso;;;Uma ukuma {arrears}, umkweletisi engakushaja inzalo yokuba ngemuva nezinye izimali njenge {default admin charge}, kanti futhi ama {arrears} akunika igama elibi;13
settling credit agreements;Application;MC-AOTA;Kwenzakala ini uma ukuma {{arrears}}?;Zonke ezibaliwe ;Uzoshajwa inzalo yama {arrears};Kufaka ichashaza egameni lakho;Ungashajwa ezinye izindleko;Uma ukuma {arrears}, umkweletisi engakushaja inzalo yokuba ngemuva nezinye izimali njenge {default admin charge}, kanti futhi ama {arrears} akunika igama elibi;18
settling credit agreements;Seed;MC;Kuyini inzalo yama {arrears} esivumelwaneni sesikweletu?;Inzalo eshajwa enanini lama {arrears};Inzalo oyitholayo ngokukhokha kakhulu;Inzalo oyikhokha ngokungeyikho;Inzalo okumele uyikhokhe {later};Inzalo yama {arrears} inzalo eshajwa emalini yama {arrears}. Ukuba kuma {arrears} kufaka icashaza egameni lakho lezikweletu;5
settling credit agreements;Retention;T/F;Inzalo yama {arrears} umklomelo wokukhokha imali enkulu kune {minimum} okumele uyikhokhe;Amanga;Iqiniso;;;Inzalo yama {arrears} inzalo eshajwa emalini yama {arrears}. Ukuba kuma {arrears} kufaka icashaza egameni lakho lezikweletu;12
settling credit agreements;Retention;MC;Inzalo eshajwa emalini ongayikhokhanga ngokwesivumelwano ibizwa ngani?;Inzalo yama {arrears};Intela ye {bonus};Inzalo engakhokhiwe;Inzalo engezi ngesikhathi;Inzalo yama {arrears} inzalo eshajwa emalini yama {arrears}. Ukuba kuma {arrears} kufaka icashaza egameni lakho lezikweletu;12
settling credit agreements;Retention;T/F;Uma ukhokha inzalo eningi ngephutha, lokhu kubizwa nge nzalo yama {arrears};Amanga;Iqiniso;;;Inzalo yama {arrears} inzalo eshajwa emalini yama {arrears}. Ukuba kuma {arrears} kufaka icashaza egameni lakho lezikweletu;12
settling credit agreements;Application;MC;Kusho ukuthini ukushajwa inzalo yama {arrears} esivumelwaneni sesikweletu?;Ushajwa inzalo emalini yama {arrears};Ifana nezinye izinzalo;Ungakhokha {later};Inzalo esuswa esikweletini osikweletayo;Inzalo yama {arrears} inzalo eshajwa emalini yama {arrears}. Ukuba kuma {arrears} kufaka icashaza egameni lakho lezikweletu;18
settling credit agreements;Seed;T/F;{{Isivumelwano sokukhokha}} yisivumelwano esisha umkweletisi nawe enivumelana ngaso uma ungasakhoni ukukhokha isikweletu;Iqiniso;Amanga;;;Uma ungasakhoni ukukhokha isikweletu, kumele uxhumane nomkweletisi nivumelane ngeplani elisha lokukhokha elikhonakalayo;4
settling credit agreements;Retention;MC;Ungacela ini kumkweletisi uma ungasakhoni ukukhokha isikweletu? ;Isivumelwano sokukhokha esinomqondo;i{Break} yentela;Ukuvala i{account};Iholidi ekukhokheni;Uma ungasakhoni ukukhokha isikweletu, kumele uxhumane nomkweletisi nivumelane ngeplani elisha lokukhokha elikhonakalayo;11
settling credit agreements;Application;T/F;Isivumelwano sokukhokha sisho ukuthi ungaziyeka ezinye izimali ozikweletayo ungazikhokhile uma nivumelene nomkweletisi;Amanga;Iqiniso;;;i{Plan} lokukhokha yisivumelwano esisha phakathi kwakho nomkweletisi sokukhokha imali oyikhonayo. Usazokhokha imali oyikweletayo kodwa, futhi kumele ukhokhe njalo ngokusho kwesivumelwano esisha.;18
Settling credit agreements;Seed;T/F;Uma unesivumelwano sesikweletu semoto, impahla etc., kumele sikhokhwe ngokugcwele khona uzosiqeda;Iqiniso;Amanga;;;Uma uboleka imali noma uthenga izinto ngesikweletu, uphoqekile ngokomthetho ukuyikhokha leyo mali nenzalo nezinye izimali ngokusho kwesivumelwano, kuze sizophela isikweletu bese uvala i{account};3
Settling credit agreements;Retention;MC;Kumele wenze ini kuze uzoqeda isivumelwano sesikweletu semoto, sempahla, se {loan}, etc.?;Kumele ukhokhe yonke imali ngokusho kwesivumelwano;Uyasivala ngokubona kwakho;Wenza i{write off} ngesikweletu;Uaplayela i{National Credit Regulator};Uma uboleka imali noma uthenga izinto ngesikweletu, uphoqekile ngokomthetho ukuyikhokha leyo mali nenzalo nezinye izimali ngokusho kwesivumelwano, kuze sizophela isikweletu bese uvala i{account};10
Settling credit agreements;Application;Y/N;Uyakwazi yini ukuqeda isivumelwano sesikweletu semoto, sempahla, se {loan}, etc. uma kusashoda imali?;Cha;Yebo;;;Uma uboleka imali noma uthenga izinto ngesikweletu, uphoqekile ngokomthetho ukuyikhokha leyo mali nenzalo nezinye izimali ngokusho kwesivumelwano, kuze sizophela isikweletu bese uvala i{account};17
Settling credit agreements;Application;Y/N;Ungasiqed yini isivumelwano sesikweletu semoto, sempahla, se {loan}, etc., noma yinini?;Cha;Yebo;;;Uma uboleka imali noma uthenga izinto ngesikweletu, uphoqekile ngokomthetho ukuyikhokha leyo mali nenzalo nezinye izimali ngokusho kwesivumelwano, kuze sizophela isikweletu bese uvala i{account};17
Settling credit agreements;Seed;MC;Kuyini ukuqeda isivumelwano sesikweletu?;Ukukhokha yonke imali oyikweletayo ngesivumelwano;Uku {sign}a isivumelwano;Uyaciza isivumelwano;Uqala ucwaningo esikweletini;Ukuqeda isivumelwano sesikweletu kusho ukuthi ukhokha yonke imali oyikweletayo. Uma usheshe waqeda, bengaku shaja imali ye {penalty};4
Settling credit agreements;Retention;T/F;Ukuqeda isikweletu kusho ukuthi uyavumelana ne {contract} bese uya{sign}a;Amanga;Iqiniso;;;Ukuqeda isivumelwano sesikweletu kusho ukuthi ukhokha yonke imali oyikweletayo. Uma usheshe waqeda, bengaku shaja imali ye {penalty};11
Settling credit agreements;Retention;MC;Kwenzekala ini uma ukhokhe yonke imali oyikweletayo esivumelwaneni sesikweletu?;Uyasiqeda isikweletu ({settle});Uyasivala ngokubona kwakho;Uyasikhansela;Uyasayina;Ukuqeda isivumelwano sesikweletu kusho ukuthi ukhokha yonke imali oyikweletayo. Uma usheshe waqeda, bengaku shaja imali ye {penalty};11
Settling credit agreements;Application;MC;Kusho ukuthini uma usuqedile ngesivumelwano sesikweletu?;Ukukhokha yonke imali oyikweletayo ngesivumelwano;Ukhokha u {half} wesikweletu;Ukhokha inzalo yama {arrears};Uyaziyekela;Ukuqeda isivumelwano sesikweletu kusho ukuthi ukhokha yonke imali oyikweletayo. Uma usheshe waqeda, bengaku shaja imali ye {penalty};18
Settling credit agreements;Seed;Y/N;Uyakwazi yini ukukhokha yonke imali oyikweletayo ngesikhathi esifishane kunesikhathi sesivumelwano?;Yebo;Cha;;;Uvumelekile ukukhokha yonke imali oyikweletayo esivumelwaneni isikhathi esishiwo singakhapheli, kodwa ungathola i{penalty} uma wenza njalo, ngemigomo nemibandela yesivumelwano;5
Settling credit agreements;Retention;T/F;Uyakwazi ukuqeda isikweletu masishane kodwa ungashajwa i{penalty};Iqiniso;Amanga;;;Uvumelekile ukukhokha yonke imali oyikweletayo esivumelwaneni isikhathi esishiwo singakhapheli, kodwa ungathola i{penalty} uma wenza njalo, ngemigomo nemibandela yesivumelwano;12
Settling credit agreements;Retention;T/F;Awuvumelekile ukukhokha yonke imali yesikweletu singakapheli isikhathi esishiwo yisivumelwano;Amanga;Iqiniso;;;Uvumelekile ukukhokha yonke imali oyikweletayo esivumelwaneni isikhathi esishiwo singakhapheli, kodwa ungathola i{penalty} uma wenza njalo, ngemigomo nemibandela yesivumelwano;18
Settling credit agreements;Seed;Y/N;Uyakwazi yini ukushiya isivumelwano sesikweletu uma ungasakhoni ukukhokha imali yesikweletu?;Cha;Yebo;;;Uma uboleka imali noma uthenga ngesikweletu, kumele uyikhokhe leyo mali yesikweletu ngokomthetho. Uma ungakhoni ukukhokha kumele uthinte umkweletisi wenze isivumelwano esisha sokukhokha;5
Settling credit agreements;Application;MC;Yini ongayenza uma ungasakhoni ukukhokha imali yesivumelwano sesikweletu?;Ucela isivumelwano sokukhokha esinomqondo;Uyayeka ukukhokha uze usikhone;Uaplaya kuyi {National Credit Regulator};Uya kumashonisa;Uma uboleka imali noma uthenga ngesikweletu, kumele uyikhokhe leyo mali yesikweletu ngokomthetho. Uma ungakhoni ukukhokha kumele uthinte umkweletisi wenze isivumelwano esisha sokukhokha;12
Settling credit agreements;Application;T/F;Uma wenza isilungiselelo sokukhokha nomkweletisi wakho, kusho ukuthi izikweletu zakho ziyacishwa;Amanga;Iqiniso;;;Isilungiselelo sokukhokha yiplani elikhonakalayo lokukhokha isikweletu - akusho ukuthi isikweletu sakho siyacishwa;18
Settling credit agreements;Seed;MC;Iyiphi kwezibaliwe ekungukuphula i{contract}?;Uma ungakhokhi imali oyikweletayo;Uma uqeda isivumelwano masisha;Uma ungasithathi isikweletu ngesikhathi;Uma ungasayithandi impahla oyithengile;Uma ungayikhokhi yonke imali oyikweletayo ngesikhathi esibekwe esivumelwaneni sesikweletu, uphula i{contract}. Umkweletisi engakuthathela izinyathelo zomthetho. Lokhu kufaka ichashaza egameni lakho;5
Settling credit agreements;Retention;T/F;Uma ungasithathi isikweletu ngesikhathi, uphula isivumelwano se {contract};Amanga;Iqiniso;;;Uma ungayikhokhi yonke imali oyikweletayo ngesikhathi esibekwe esivumelwaneni sesikweletu, uphula i{contract}. Umkweletisi engakuthathela izinyathelo zomthetho. Lokhu kufaka ichashaza egameni lakho;12
Settling credit agreements;Retention;MC;Uma ungakhokhi imali oyikweletayo esivumelwaneni unjani?;Uphula i{contract};Uthatha iholidi ekukhokheni;Uvumelekile ukushiya isivumelwano;Uya ejele;Uma ungayikhokhi yonke imali oyikweletayo ngesikhathi esibekwe esivumelwaneni sesikweletu, uphula i{contract}. Umkweletisi engakuthathela izinyathelo zomthetho. Lokhu kufaka ichashaza egameni lakho;13
Settling credit agreements;Application;MC-AOTA;Kuyini umphumela wokungakhokhi imali yesivumelwano sesikweletu ngesikhathi?;Zonke ezibaliwe;Uphula isivumelwano;Umkweletisi engakubophisa;Kukunika igama elibi;Uma ungayikhokhi yonke imali oyikweletayo ngesikhathi esibekwe esivumelwaneni sesikweletu, uphula i{contract}. Umkweletisi engakuthathela izinyathelo zomthetho. Lokhu kufaka ichashaza egameni lakho;18
