Concept;Question class;Question type;Question content;Answer;Alternative 1;Alternative 2;Alternative 3;Explanation;Difficulty rating (</= 20)
Vehicle finance agreement terminology;Retention;T/F;Kukuwena ukuthi uyafuna yini ukuthatha i{{credit life insurance}};Amanga;Iqiniso;;;Umkweletisi engakudinga ube ne {credit life insurance} kuze ezokukweletisela imoto, kodwa khumbula ukuthi akavumelekile ukukuphoqa ukuthi uthathe umthengisi womshwalense othile, ungazikhethela wena;12
Vehicle finance agreement terminology;Application;Y/N;Ungazikhethela yini umthengisi wakho we {{credit life insurance}}?;Yebo;Cha;;;Umkweletisi engakudinga ube ne {credit life insurance} kuze ezokukweletisela imoto, kodwa khumbula ukuthi akavumelekile ukukuphoqa ukuthi uthathe umthengisi womshwalense othile, ungazikhethela wena;18
Vehicle finance agreement terminology;Seed;T/F;i{{Shortfall insurance}} ikhava umehluko phakathi kwemali oyikhokhelwa ngumshwalense kanye nemali osayikweletayo esikweletini;Iqiniso;Amanga;;;Uma imoto yakho iba yi {write}-{off} ngengozi noma intshontshwa, i{shortfall insurance} ikhava umehluko phakathi kwemali yomshwalense wakho kanye nemali osayikweletayo;6
Vehicle finance agreement terminology;Retention;MC;i{{Shortfall insurance}} ikhava umehluko phakathi kwemali oyikhokhelwa ngumshwalense kanye nani?;Imali osayikweletayo emotweni;Imali osuyikhokhile emotweni;Inani lemoto lokuqala;Inani lemoto ngaleso sikhathi;Uma imoto yakho iba yi {write}-{off} ngengozi noma intshontshwa, i{shortfall insurance} ikhava umehluko phakathi kwemali yomshwalense wakho kanye nemali osayikweletayo;13
Vehicle finance agreement terminology;Retention;MC;i{{Shortfall insurance}} ikhava umehluko phakathi kwemali osayikweletayo emotweni kanye nani?;Nemali oyikhokhelwa ngumshwalense;Imali oydayisa ngayo imoto;Imali oyikhonayo;Imali oyikhokhele yona;Uma imoto yakho iba yi {write}-{off} ngengozi noma intshontshwa, i{shortfall insurance} ikhava umehluko phakathi kwemali yomshwalense wakho kanye nemali osayikweletayo;13
Vehicle finance agreement terminology;Application;MC;Mshwalense muni okhava umehluko phakathi kwemali umshwalense wakho okukhokhela yona kanye nemali osayikweleta emotweni?;{Shortfall insurance};{Comprehensive insurance};{Credit life insurance};{Household insurance};Uma imoto yakho iba yi {write}-{off} ngengozi noma intshontshwa, i{shortfall insurance} ikhava umehluko phakathi kwemali yomshwalense wakho kanye nemali osayikweletayo;19
Vehicle finance agreement terminology;Seed;T/F;i{{Warranty}} ikhava umonakalo obangwa yizinkinga ezenzakale ekukhiqizeni imoto;Iqiniso;Amanga;;;i{Manufacture warranty} ekuyi {warranty} yomkhiqizi ikhava umonakalo owenziwa ngamaphutha enzeke ekukhiqizweni kwemoto. Ayikhavi ukuguga kwemoto okubangwa ngumshayeli;5
Vehicle finance agreement terminology;Retention;MC;Yini ekhava izinkinga ezikhandwe ngamaphutha omkhiqizi?;{Warranty};{Insurance};{Maintenance plan};{Service plan};i{Manufacture warranty} ekuyi {warranty} yomkhiqizi ikhava umonakalo owenziwa ngamaphutha enzeke ekukhiqizweni kwemoto. Ayikhavi ukuguga kwemoto okubangwa ngumshayeli;12
Vehicle finance agreement terminology;Application;Y/N;i{{Warranty}} iyakukhava yini ukuguga kwemoto?;Cha;Yebo;;;i{Manufacture warranty} ekuyi {warranty} yomkhiqizi ikhava umonakalo owenziwa ngamaphutha enzeke ekukhiqizweni kwemoto. Ayikhavi ukuguga kwemoto okubangwa ngumshayeli;18
Vehicle finance agreement terminology;Application;Y/N;i{{Warranty}} iyawukhava yini umonakalo wengozi?;Cha;Yebo;;;i{Manufacture warranty} ekuyi {warranty} yomkhiqizi ikhava umonakalo owenziwa ngamaphutha enzeke ekukhiqizweni kwemoto. Ayikhavi ukuguga kwemoto okubangwa ngumshayeli;18
Vehicle finance agreement terminology;Seed;T/F;Uma uthenga imoto entsha izoba ne {{warranty}};Iqiniso;Amanga;;;Imoto entsha iphuma ne {manufacture warranty} kodwa iyaphela ngokuhamba kwesikhathi;6
Vehicle finance agreement terminology;Retention;T/F;Udinga ukuthenga i{{warranty}} ukuthola isikweletu semoto ekuyi {vehicle finance};Amanga;Iqiniso;;;Imoto entsha iphuma ne {manufacture warranty}, awudingi ukuyithenga eceleni. Imoto esisebenzile ungakhetha ukuthola i{warranty} ehamba yodwa;13
Vehicle finance agreement terminology;Application;T/F;Uma uthenga imoto entsha, i{{warranty}} yayo ibakhona impilo yemoto yonke;Amanga;Iqiniso;;;Imoto entsha iphuma ne {manufacture warranty} kodwa iyaphela ngokuhamba kwesikhathi;19
Vehicle finance agreement terminology;Seed;Y/N;Uma ushayela imoto ethengwe ngesikweletu ngaphandle kwezwe, uyayidinga yini i{{border letter}} namaphepha okurejista?;Yebo;Cha;;;Ukushayela imoto ethengwe ngesikweletu ngaphandle kwemincele yase {South Africa} udinga incwadi evela ebhange, izincwadi zemoto ({NaTIS}) kanye ne {proof} yomshwalense ngaphandle;4
Vehicle finance agreement terminology;Retention;T/F;Awuyidinga i{{border letter}} namaphepha okurejista uma ushayela imoto yesikweletu ngaphandle kwe {South Africa};Amanga;Iqiniso;;;Ukushayela imoto ethengwe ngesikweletu ngaphandle kwemincele yase {South Africa} udinga incwadi evela ebhange, izincwadi zemoto ({NaTIS}) kanye ne {proof} yomshwalense ngaphandle;11
Vehicle finance agreement terminology;Application;MC-AOTA;Uma ushayela imoto ethengwe ngesikweletu ngaphandle kwezwe, uyayidinga ini?;Zonke ezibaliwe;i{Border letter} evela e{bank};Izincwadi zokurejista imoto (NaTIS);i{Proof} yomshwalense kulelozwe;Ukushayela imoto ethengwe ngesikweletu ngaphandle kwemincele yase {South Africa} udinga incwadi evela ebhange, izincwadi zemoto ({NaTIS}) kanye ne {proof} yomshwalense ngaphandle;17
Vehicle finance agreement terminology;Seed;T/F;i{{Principal debt}} imali yesikweleu oyikweletayo, kungakangeni nzalo nezinye izimali;Iqiniso;Amanga;;;i{Principal debt} imali yesikweleu oyikweletayo ukuthenga imoto, kungakangeni nzalo nezinye izimali;6
Vehicle finance agreement terminology;Retention;MC;Kuyini i{{principal debt}}?;Imali ebolekiwe, kungakangeni nzalo;Imali oyikweletayo sekufakwe inzalo;Izimali oshajwa ngumkweletisi;i{Balloon payment};i{{Principal debt}} imali yesikweletu oyikweletayo, kungakangeni nzalo nezinye izimali;13
Vehicle finance agreement terminology;Retention;MC;Imali oyibolekayo ukuthenga imoto ibizwa ngani?;i{Principal debt};i{Contract balance};i{Principal credit};iBhalansi eshodayo;i{{Principal debt}} imali yesikweletu oyikweletayo, kungakangeni nzalo nezinye izimali;13
Vehicle finance agreement terminology;Application;T/F;i{{Principal debt}} ayikafaki inzalo;Iqiniso;Amanga;;;i{{Principal debt}} imali yesikweletu oyikweletayo, kungakangeni nzalo nezinye izimali;19
Vehicle finance agreement terminology;Seed;T/F;i{{Capital balance}} imali ye {principal debt} ongakayikhokhi;Iqiniso;Amanga;;;i{Capital balance} inani lemali osayikweletayo kuyi {principal debt} ekuyi nani lemoto;7
Vehicle finance agreement terminology;Retention;T/F;i{{Capital balance}} imali osayikweletayo esivumelwaneni sesikweletu semoto ngokuphelele;Amanga;Iqiniso;;;i{CONTRACT balance} isamba semali osasikweletayo. i{CAPITAL balance} imali osayikweleta kuyi {principal debt} ekuyi nani lemoto kungakangeni nzalo;14
Vehicle finance agreement terminology;Application;T/F;Uma i{{capital balance}} yakho kungu R100,000, lemali akusiyo nje imali odinga ukuyikhokha;Iqiniso;Amanga;;;i{CAPITAL balance} inani lemali osayikweletayo kuyi {principal debt} ekuyi nani lemoto kungakangeni nzalo. i{CONTRACT balance} isamba semali osasikweletayo;20
Vehicle finance agreement terminology;Seed;T/F;i{{Capital balance}} imali osadinga ukukhokhela yona imoto ngokuphelele;Iqiniso;Amanga;;;i{Contract balance} isamba semali osasikweletayo esivumelwaneni sesikweletu, ekuyi mali yesikweletu semoto ({principal balance}) kanye nenzalo nezinye izimali;7
Vehicle finance agreement terminology;Retention;MC;Kuyini i{{contract balance}} esivumelwaneni sesikweletu semoto ({vehicle finance agreement})?;Imali oyikweletayo ngokuphelele;Imali osayikweletayo kuyi {principal debt};Inzalo esashodayo ngokuphelele;Isikhathi esisasele esivumelwaneni;i{Contract balance} isamba semali osasikweletayo esivumelwaneni sesikweletu, ekuyi mali yesikweletu semoto ({principal balance}) kanye nenzalo nezinye izimali;14
Vehicle finance agreement terminology;Application;T/F;Uma i{{contract balance}} yakho kungu R270,000, akuyona imali osayikweletayo lena;Amanga;Iqiniso;;;i{Contract balance} isamba semali osasikweletayo esivumelwaneni sesikweletu. Uma i{contract balance} yakho kungu R270,000, ileyo imali oyikweletayo;20
Vehicle finance agreement terminology;Application;T/F;Uma i{{contract balance}} yakho kungu R150,000, imali osayikweletayo leyo esikweletini semoto;Iqiniso;Amanga;;;i{Contract balance} isamba semali osasikweletayo esivumelwaneni sesikweletu, ekuyi mali yesikweletu semoto ({principal balance}) kanye nenzalo nezinye izimali;20
Vehicle finance agreement terminology;Seed;MC;Kuyini i{{depreciation}}?;Ukwehla kwenani lemoto ngokuhamba kwesikhathi;Ukunyuka kwenani lemoto ngokuhamba kwesikhathi;Ukunyuka kwamanani ezimoto;Ukushintsha kwenzalo yemoto yakho;i{Depreciation} imangabe inani lemoto yakho lehla ngokuhamba kwesikhathi, okusho ukuthi angeke ukwazi ukuyidayisa leyo moto ngenani oyithenge ngalo;6
Vehicle finance agreement terminology;Retention;MC;Ukwehla kwenani lemoto yakho ngokuhamba kwesikhathi kubizwa ngani?;i{Depreciation};i{Appreciation};i{Inflation};i{Deflation};i{Depreciation} imangabe inani lemoto yakho lehla ngokuhamba kwesikhathi, okusho ukuthi angeke ukwazi ukuyidayisa leyo moto ngenani oyithenge ngalo;13
Vehicle finance agreement terminology;Application;T/F;i{{Depreciation}} ayishintshi inani lemoto yakho uma uyi {trade}-{in}a;Amanga;Iqiniso;;;Angeke ukwazi ukuyidayisa imoto yakho ngenani oyithenge ngalo ngoba yehlelwa yinani ngokuhamba kwesikhathi ({depreciation});19
Vehicle finance agreement terminology;Application;Y/N;Uyakwazi yini ukudayisa imoto ngenani oyithenge ngalo?;Cha;Yebo;;;Angeke ukwazi ukuyidayisa imoto yakho ngenani oyithenge ngalo ngoba yehlelwa yinani ngokuhamba kwesikhathi ({depreciation});19
Vehicle finance agreement terminology;Seed;T/F;Imoto esisebenzile ({second}-{hand}) ayithintwa yi{{depreciation}};Amanga;Iqiniso;;;Imoto esisebenzile ({second}-{hand}) IYEHLA ngenani ngokuhamba kwesikhathi (iya {depreciate}a), kodwa ngesilinganiso ({rate}) esincanyane kunemoto entsha;7
Vehicle finance agreement terminology;Retention;T/F;Izimoto ezintsha kuphela ezithintwa yi {{depreciation}};Amanga;Iqiniso;;;Imoto esisebenzile ({second}-{hand}) IYEHLA ngenani ngokuhamba kwesikhathi (iya {depreciate}a), kodwa ngesilinganiso ({rate}) esincanyane kunemoto entsha;14
Vehicle finance agreement terminology;Application;T/F;Ungayigwema i{{depreciation}} ngokuthenga imoto esisebenzile ({used}}/{{second}}-{{hand});Amanga;Iqiniso;;;Imoto esisebenzile ({second}-{hand}) IYEHLA ngenani ngokuhamba kwesikhathi (iya {{depreciate}}a), kodwa ngesilinganiso ({rate}) esincanyane kunemoto entsha;20
Vehicle finance agreement terminology;Seed;MC-AOTA;Yini engathinta ukwehla kwentengo yemoto ({{depreciation}})?;Zonke ezibaliwe;Imodel ({make}) yemoto;Umonakalo wemoto;Ubudala bemoto;Ezinye izimoto zehla ngokushesha kunezinye, umonakalo ungenza inani lehle kakhulu kanti futhi izimoto ezintsha zehla kakhulu kunezindala;7
Vehicle finance agreement terminology;Retention;T/F;Amanye ama {model} nama {make} ezimoto ehla intengo kakhulu kunamanye;Iqiniso;Amanga;;;Ezinye izimoto zehla ngokushesha kunezinye;14
Vehicle finance agreement terminology;Application;T/F;Uma imoto yakho iba sengozini, intengo yayo angeke isehla;Amanga;Iqiniso;;;Umonakalo ungenza inani lemoto lehle kakhulu;20
Vehicle finance agreement terminology;Seed;MC;Kusho ukuthini ukuba kuma {{arrears}} esikweletini sakho semoto?;Kunemali ongayikhokhile ngokwesivumelwano;Ithole ithikithi emgwaqeni;Uzothathelw i{license};i{Account} yakho ivaliwe;Uma ungakhokhi ngisho nenyanga eyodwa nje, umkweletisi wakho engakufaka kuma {arrears} okuyichashaza egameni lakho, kanti futhi ahamba nenzalo;4
Vehicle finance agreement terminology;Retention;T/F;Ukuba kuma {{arrears}} kusho ukuthi ukhokha imali eningi ngokwephutha;Amanga;Iqiniso;;;Uma ungakhokhi ngisho nenyanga eyodwa nje, umkweletisi wakho engakufaka kuma {arrears} okuyichashaza egameni lakho, kanti futhi ahamba nenzalo;11
Vehicle finance agreement terminology;Application;T/F;Awubi kuma {{arrears}} uma ukhokhe imali {late} ngosuku olulodwa (oluyi 1);Amanga;Iqiniso;;;Uma ukhokha ngisho usuku oluyi 1 {late}, umkweletisi wakho engakufaka kuma {arrears} okuyichashaza egameni lakho, kanti futhi ahamba nenzalo;17
Vehicle finance agreement terminology;Seed;MC;Kuyini inzalo yama {{arrears}} ngokwesikweletu semoto ({vehicle finance})?;Inzalo ebizwa phezulu kwenani lesikweletu;Isilinganiso senzalo yakho ejwayelekile;Inzalo ekumele ibuyiselwe;Inzalo ongadingi ukuyikhokha manje;Uma ukuma {arrears} ({ushoda ngokukhokha kwemali ngokwesivumelwano}), umkweletisi wakho engakushaja inzalo yama {arrears} nezinye izimali zama {admin}({default administration charges});5
Vehicle finance agreement terminology;Retention;T/F;Ibhange lakho alivumelekile ukukushaja inzalo engaphezulu kanye nezimali ze {admin} uma ukuma {{arrears}};Amanga;Iqiniso;;;Uma ukuma {arrears} ({ushoda ngokukhokha kwemali ngokwesivumelwano}), umkweletisi wakho engakushaja inzalo yama {arrears} nezinye izimali zama {admin}({default administration charges});12
Vehicle finance agreement terminology;Application;MC;Uma istatmende sakho sikhombisa ama {{arrears}}, kusho ukuthini?;Inzalo ebizwa kunani lesikweletu;Uzobuyiselwa leyo mali;Ifanele ukukhokhwa hhayi manje;Ithayiselwa ku {balloon payment};Uma ukuma {arrears} ({ushoda ngokukhokha kwemali ngokwesivumelwano}), umkweletisi wakho engakushaja inzalo yama {arrears} nezinye izimali zama {admin}({default administration charges});18
Ending vehicle finance agreements;Seed;Y/N;Uyakwazi yini uku qeda ({settle}/{pay}-{off}) isikweletu semoto kungakapheli isikhathi sesivumelwano ({finance period})?;Yebo;Cha;;;Ngokwenjwayelo, ungasikhokha sonke isikweletu semoto kungakafiki isikhathi sokuqeda isivumelwano kodwa ungakhokhiswa imali yesigwebo ({penalty});4
Ending vehicle finance agreements;Retention;T/F;Uma ukhokhela imali esisele ({{settle}}) esikweletini kungakapheli isikhathi ungakhokha imali yesigwebo ({penalty});Iqiniso;Amanga;;;Ngokwenjwayelo, ungasikhokha sonke isikweletu semoto kungakafiki isikhathi sokuqeda isivumelwano kodwa ungakhokhiswa imali yesigwebo ({penalty});11
Ending vehicle finance agreements;Application;MC;Kwenzekani uma ukhokha yonke imali ({{settle}}) esikweletini semoto kungakapheli isikhathi sesivumelwano sesikweletu?;Kumele ukhokhe imali yesigwebo;Uthola isaphulelo emotweni elandelayo;Kumele uaplayele isikweletu futhi;Awukwazi ukukhokhela isikweletu semoto {early};Ngokwenjwayelo, ungasikhokha sonke isikweletu semoto kungakafiki isikhathi sokuqeda isivumelwano kodwa ungakhokhiswa imali yesigwebo ({penalty});17
Ending vehicle finance agreements;Seed;Y/N;Uma ukhokhela imali esisele esikweletini semoto kungakapheli isikhathi, uyayidinga i{{settlement quote}}?;Yebo;Cha;;;Uma ufuna ukuqeda isikweletu singakapheli isikhathi sesivumelwano ungacela umkweletisi akunike i{quote} ekuyimali okuzomele uyikhokhe. Ingaba nkulu kunenani lemali esele ngoba ungashajwa isigwebo;5
Ending vehicle finance agreements;Retention;MC;Uma ufuna ukhokhela imali esisele esikweletini semoto kungakapheli isikhathi, udinga ukucela ini?;i{Settlement quote};Isitifiketi sentela;i{Invoice};Istatmende se {capital balance};Uma ufuna ukuqeda isikweletu singakapheli isikhathi sesivumelwano ungacela umkweletisi akunike i{quote} ekuyimali okuzomele uyikhokhe. Ingaba nkulu kunenani lemali esele ngoba ungashajwa isigwebo;12
Ending vehicle finance agreements;Application;T/F;i{{Settlement quote}} yakho iyohlale ilingana ne {contract balance} okuyimali osayikweletayo esikweletini;Amanga;Iqiniso;;;Imali ye {settlement} ekuyimali yokuqeda isikweletu ingaba nkulu kunenani lemali esele ngoba ungashajwa isigwebo;18
Ending vehicle finance agreements;Seed;T/F;i{{Break}}-{{even point}} yilapha imoto yakho osayikhokhelayo ibiza imali ecishe ilingane nesikweletu sakho kuyona;Iqiniso;Amanga;;;i{{Break}}-{{even point}} yilapha usukhokhe imali emotweni ukuze inani lemoto yakho lizolingana nemali osayikweletayo emotweni;6
Ending vehicle finance agreements;Retention;MC;Uma imoto yakho icishe ibize imali osayikweletayo kuyo, kubizwa ngani?;i{Break}-{even point};i{Depreciation point};i{Cancellation point};i{Contract balance point};i{{Break}}-{{even point}} yilapha usukhokhe imali emotweni ukuze inani lemoto yakho lizolingana nemali osayikweletayo emotweni;13
Ending vehicle finance agreements;Retention;MC;Kuyini i{{break}}-{{even point}} esivumelwaneni sesikweletu semoto?;La isikweletu sibiza inani lemoto;La imoto ezoba yi {write}-{off} khona;La okhansela khona isivumelwano;La osukhokhe khona uhhafu wesikweletu;i{{Break}}-{{even point}} yilapha usukhokhe imali emotweni ukuze inani lemoto yakho lizolingana nemali osayikweletayo emotweni;13
Ending vehicle finance agreements;Retention;MC;Ingena kuphi i{{break}}-{{even point}} esivumelwaneni sesikweletu semoto?;La isikweletu sibiza inani lemoto;La imoto ezoba yi {write}-{off} khona;La ongasakhoni khona ukuvala isikweletu;La i{contract} ne {capital balance} kulingana;i{{Break}}-{{even point}} yilapha usukhokhe imali emotweni ukuze inani lemoto yakho lizolingana nemali osayikweletayo emotweni;13
Ending vehicle finance agreements;Application;T/F;Uma uthengisa imoto yakho ngaphambili kokulingana nesiwkeletu esisele, ungathola imali yokuqeda isikweletu;Amanga;Iqiniso;;;Uma uthengisa imoto yakho ingakafiki kuyi {break}-{even point}, angeke uthole imali eyanele yokuqeda isikweletu sayo ngoba ukweleta imali eningi kunenani lemoto;19
Ending vehicle finance agreements;Application;T/F;Uma uthengisa imoto yakho ngemuva kokulingana nesikweletu esisele, ungathola imali yokuqeda isikweletu;Iqiniso;Amanga;;;Uma uthengisa imoto yakho seyidlulile i{break}-{even point}, inani layo licishe lilingane nemali osayikweletayo emotweni;19
Ending vehicle finance agreements;Seed;Y/N;Uma uthola imoto engcono, ungavala isivumelwano sesikweletu ungasikhokhele ngokugcwele?;Cha;Yebo;;;Isivumelwano sesikweletu semoto isivumelwano somthetho sokukhokha imali oyikweletayo ngisho ungashintsha umqondo ngesikweletu, ok'shuthi usakweleta ngisho usivala isikweletu;3
Ending vehicle finance agreements;Retention;T/F;Ungasivala isivumelwano sesikweletu semoto ungakaqedi ukukhokhela imoto uma ungasayifuni imoto;Amanga;Iqiniso;;;Isivumelwano sesikweletu semoto isivumelwano somthetho sokukhokha imali oyikweletayo ngisho ungashintsha umqondo ngesikweletu, ok'shuthi usakweleta ngisho usivala isikweletu;10
Ending vehicle finance agreements;Application;T/F;Uma usayina isivumelwano sesikweletu semoto, kumele usikhokhele usiqede kuze uzovala isikweletu semoto, ngisho ungasafuni ukukhokha;Iqiniso;Amanga;;;Isivumelwano sesikweletu semoto isivumelwano somthetho sokukhokha imali oyikweletayo ngisho ungashintsha umqondo ngesikweletu, ok'shuthi usakweleta ngisho usivala isikweletu;17
Ending vehicle finance agreements;Seed;T/F;Uma usakhokhela imoto yakho, ingeyebhange;Iqiniso;Amanga;;;Umkweletisi wakho ubhaliswa njengomnini moto uma ungakaqedi ukukhokhela isikweletu sayo. Uma usuqedile ukukhokha, imoto ingena egameni lakho;4
Ending vehicle finance agreements;Retention;Y/N;Imoto eyakho na uma usayikhokhela?;Cha;Yebo;;;Umkweletisi wakho ubhaliswa njengomnini moto uma ungakaqedi ukukhokhela isikweletu sayo. Uma usuqedile ukukhokha, imoto ingena egameni lakho;11
Ending vehicle finance agreements;Application;T/F;Uma usuqedile ukukhokhela imoto uba ngumninimoto (iba ngeyakho);Iqiniso;Amanga;;;Umkweletisi wakho ubhaliswa njengomnini moto uma ungakaqedi ukukhokhela isikweletu sayo. Uma usuqedile ukukhokha, imoto ingena egameni lakho;17
Ending vehicle finance agreements;Seed;T/F;Uma usuqedile ukukhokhela imoto uba ngumninimoto (iba ngeyakho) ungenzanga lutho wena;Amanga;Iqiniso;;;Kungumsebenzi wakho ukurejista imoto egameni lakho uma usuqedile ukukhokhela isikweletu sayo;5
Ending vehicle finance agreements;Retention;T/F;Kumele urejiste imoto egameni lakho uma usuqedile ukuyikhokhela;Iqiniso;Amanga;;;Kungumsebenzi wakho ukurejista imoto egameni lakho uma usuqedile ukukhokhela isikweletu sayo;12
Ending vehicle finance agreements;Application;T/F;Uma usuqedile ukukhokhela imoto ungacela umkweletisi eyifake egameni lakho;Amanga;Iqiniso;;;Kungumsebenzi wakho ukurejista imoto egameni lakho uma usuqedile ukukhokhela isikweletu sayo;18
